Station,Region,Latitude,Longitude,Name,City,Country
BIAR,europe,65.683,-18.083,"Akureyri, Iceland",Akureyri, Iceland
BIHN,europe,64.3,-15.217,"Akurnes, Iceland",Akurnes, Iceland
BIRK,europe,64.132,-21.933,"Reykjavik, Iceland",Reykjavik, Iceland
DAAG,europe,36.683,3.217,"Dar-el-beida, Algeria",Dar-el-beida, Algeria
DAAS,europe,36.183,5.25,"Setif, Algeria",Setif, Algeria
DAAY,europe,33.583,-0.283,"Mecheria, Algeria",Mecheria, Algeria
DABB,europe,36.833,7.817,"Annaba, Algeria",Annaba, Algeria
DABC,europe,36.283,6.617,"Constantine, Algeria",Constantine, Algeria
DABT,europe,35.75,6.317,"Batna, Algeria",Batna, Algeria
DAOO,europe,35.633,-0.6,"Oran-senia, Algeria",Oran-senia, Algeria
DAOR,europe,31.5,-2.25,"Bechar, Algeria",Bechar, Algeria
DAUB,europe,34.8,5.733,"Biskra, Algeria",Biskra, Algeria
DAUG,europe,32.4,3.8,"Ghardaia, Algeria",Ghardaia, Algeria
DAUO,europe,33.5,6.783,"El-oued, Algeria",El-oued, Algeria
DTKA,europe,36.95,8.75,"Tabarka, Tunisia",Tabarka, Tunisia
DTTA,europe,36.833,10.233,"Tunis-carthage, Tunisia",Tunis-carthage, Tunisia
DTTB,europe,37.25,9.8,"Bizerte, Tunisia",Bizerte, Tunisia
DTTD,europe,32.317,10.4,"Remada, Tunisia",Remada, Tunisia
DTTF,europe,34.417,8.817,"Gafsa, Tunisia",Gafsa, Tunisia
DTTG,europe,33.883,10.1,"Gabes, Tunisia",Gabes, Tunisia
DTTJ,europe,33.867,10.767,"Djerba Mellita, Tunisia",Djerba Mellita, Tunisia
DTTX,europe,34.717,10.683,"Sfax El-maou, Tunisia",Sfax El-maou, Tunisia
DTTZ,europe,33.917,8.167,"Tozeur, Tunisia",Tozeur, Tunisia
EBAW,europe,51.2,4.467,"Antwerpen/deurne, Belgium",Antwerpen/deurne, Belgium
EBBE,europe,50.75,4.767,"Beauvechain, Belgium",Beauvechain, Belgium
EBBL,europe,51.167,5.467,"Kleine Brogel, Belgium",Kleine Brogel, Belgium
EBBR,europe,50.9,4.533,"Bruxelles National, Belgium",Bruxelles National, Belgium
EBCI,europe,50.467,4.45,"Charleroi/gosselies, Belgium",Charleroi/gosselies, Belgium
EBCV,europe,50.567,3.833,"Chievres, Belgium",Chievres, Belgium
EBFN,europe,51.083,2.65,"Koksijde, Belgium",Koksijde, Belgium
EBFS,europe,50.233,4.65,"Florennes, Belgium",Florennes, Belgium
EBKT,europe,50.9,3.117,"Beitem, Belgium",Beitem, Belgium
EBLG,europe,50.65,5.45,"Bierset, Belgium",Bierset, Belgium
EBOS,europe,51.2,2.867,"Oostende (airport), Belgium",Oostende (airport), Belgium
EBSP,europe,50.483,5.917,"Spa/la Sauveniere, Belgium",Spa/la Sauveniere, Belgium
EBSU,europe,50.033,5.4,"St-hubert, Belgium",St-hubert, Belgium
EBSZ,europe,50.933,3.65,"Semmerzake (bafb), Belgium",Semmerzake (bafb), Belgium
EDBM,europe,52.067,11.617,"Magdeburg, Germany",Magdeburg, Germany
EDBP,europe,53.65,11.383,"Schwerin, Germany",Schwerin, Germany
EDCA,europe,54.1,13.4,"Greifswald, Germany",Greifswald, Germany
EDDB,europe,52.383,13.517,"Berlin/schonefeld, Germany",Berlin/schonefeld, Germany
EDDC,europe,51.133,13.783,"Dresden/klotzsche, Germany",Dresden/klotzsche, Germany
EDDE,europe,50.983,10.967,"Erfurt/binderslebn, Germany",Erfurt/binderslebn, Germany
EDDF,europe,50.05,8.6,"Frankfurt Main Arpt, Germany",Frankfurt Main Arpt, Germany
EDDG,europe,52.133,7.7,"Munster/osnabruck, Germany",Munster/osnabruck, Germany
EDDH,europe,53.633,10,"Hamburg/fuhlsbuttel, Germany",Hamburg/fuhlsbuttel, Germany
EDDI,europe,52.467,13.4,"Berlin/tempelhof, Germany",Berlin/tempelhof, Germany
EDDK,europe,50.867,7.167,"Koln/bonn (civ/mil), Germany",Koln/bonn (civ/mil), Germany
EDDL,europe,51.283,6.783,"Dusseldorf, Germany",Dusseldorf, Germany
EDDM,europe,48.354,11.786,"Munich/riem, Germany",Munich/riem, Germany
EDDN,europe,49.5,11.083,"Nurnberg, Germany",Nurnberg, Germany
EDDP,europe,51.417,12.233,"Leipzig/schkeuditz, Germany",Leipzig/schkeuditz, Germany
EDDS,europe,48.683,9.217,"Stuttgart/echterdi, Germany",Stuttgart/echterdi, Germany
EDDT,europe,52.567,13.317,"Berlin/tegel (fafb), Germany",Berlin/tegel (fafb), Germany
EDDV,europe,52.467,9.7,"Hannover, Germany",Hannover, Germany
EDDW,europe,53.05,8.8,"Bremen, Germany",Bremen, Germany
EDFH,europe,49.95,7.267,"Hahn, Germany",Hahn, Germany
EDFM,europe,49.517,8.55,"Mannheim, Germany",Mannheim, Germany
EDFW,europe,49.767,9.967,"Wuerzburg, Germany",Wuerzburg, Germany
EDLP,europe,51.617,8.617,"Paderborn/lippstadt, Germany",Paderborn/lippstadt, Germany
EDLW,europe,51.517,7.617,"Dortmund/wickede, Germany",Dortmund/wickede, Germany
EDMA,europe,48.433,10.933,"Augsberg/mulhausen, Germany",Augsberg/mulhausen, Germany
EDMS,europe,49.117,13.133,"Grosser Arber, Germany",Grosser Arber, Germany
EDMV,europe,48.55,13.35,"Furstenzell, Germany",Furstenzell, Germany
EDNR,europe,49.05,12.1,"Regensburg, Germany",Regensburg, Germany
EDOP,europe,53.417,11.783,"Schwerin Parchim, Germany",Schwerin Parchim, Germany
EDQM,europe,50.317,11.883,"Hof, Germany",Hof, Germany
EDRT,europe,49.75,6.667,"Trier-petrisberg, Germany",Trier-petrisberg, Germany
EDTL,europe,48.367,7.833,"Lahr, Germany",Lahr, Germany
EDTY,europe,49.217,9.517,"Oehringen, Germany",Oehringen, Germany
EDTZ,europe,47.683,9.183,"Konstanz, Germany",Konstanz, Germany
EDVK,europe,51.4,9.383,"Kassel/calden, Germany",Kassel/calden, Germany
EDWE,europe,53.383,7.233,"Emden-flugplatz, Germany",Emden-flugplatz, Germany
EETN,europe,59.383,24.583,"Tallin-harku, Estonia",Tallin-harku, Estonia
EETU,europe,58.3,26.733,"Tartu-toravere, Estonia",Tartu-toravere, Estonia
EFHA,europe,61.85,24.8,"Halli, Finland",Halli, Finland
EFHK,europe,60.317,24.967,"Helsinki-vantaa, Finland",Helsinki-vantaa, Finland
EFIV,europe,68.617,27.417,"Ivalo, Finland",Ivalo, Finland
EFJO,europe,62.667,29.633,"Joensuu, Finland",Joensuu, Finland
EFJY,europe,62.4,25.683,"Jyvaskyla, Finland",Jyvaskyla, Finland
EFKA,europe,63.1,23.033,"Kauhava, Finland",Kauhava, Finland
EFKI,europe,64.283,27.683,"Kajaani, Finland",Kajaani, Finland
EFKS,europe,65.967,29.183,"Kuusamo, Finland",Kuusamo, Finland
EFKU,europe,63.017,27.8,"Kuopio, Finland",Kuopio, Finland
EFLP,europe,61.05,28.2,"Lappeenranta, Finland",Lappeenranta, Finland
EFOU,europe,64.933,25.367,"Oulu, Finland",Oulu, Finland
EFPO,europe,61.467,21.8,"Pori, Finland",Pori, Finland
EFRO,europe,66.567,25.833,"Rovaniemi, Finland",Rovaniemi, Finland
EFSO,europe,67.367,26.65,"Sodankyla, Finland",Sodankyla, Finland
EFTP,europe,61.518,23.754,"Tampere/pirkkala, Finland",Tampere/pirkkala, Finland
EFTU,europe,60.517,22.267,"Turku, Finland",Turku, Finland
EFUT,europe,60.9,26.933,"Utti, Finland",Utti, Finland
EGAA,europe,54.65,-6.217,"Belfast/aldergrove, United kingdom",Belfast/aldergrove, United kingdom
EGBB,europe,52.45,-1.733,"Birmingham Airport, United kingdom",Birmingham Airport, United kingdom
EGBE,europe,52.367,-1.467,"Coventry, United kingdom",Coventry, United kingdom
EGBN,europe,53.005,-1.25,"Nottingham Watnall, United Kingdom",Nottingham Watnall, United Kingdom
EGCC,europe,53.35,-2.283,"Manchester Airport, United kingdom",Manchester Airport, United kingdom
EGDL,europe,51.5,-1.983,"Lyneham, United kingdom",Lyneham, United kingdom
EGDM,europe,51.167,-1.75,"Boscombe Down, United kingdom",Boscombe Down, United kingdom
EGDR,europe,50.083,-5.25,"Culdrose, United kingdom",Culdrose, United kingdom
EGDY,europe,51,-2.633,"Yeovilton, United kingdom",Yeovilton, United kingdom
EGFF,europe,51.4,-3.35,"Cardiff-wales Arpt, United kingdom",Cardiff-wales Arpt, United kingdom
EGGP,europe,53.333,-2.85,"Liverpool, United kingdom",Liverpool, United kingdom
EGHH,europe,50.783,-1.833,"Bournemouth/hurn, United kingdom",Bournemouth/hurn, United kingdom
EGHI,europe,50.9,-1.4,"Southampton Wx Cntr, United kingdom",Southampton Wx Cntr, United kingdom
EGKA,europe,50.833,-0.283,"Shoreham Airport, United kingdom",Shoreham Airport, United kingdom
EGKK,europe,51.15,-0.183,"London/gatwick Arpt, United kingdom",London/gatwick Arpt, United kingdom
EGLL,europe,51.483,-0.45,"London/heathrow Air, United kingdom",London/heathrow Air, United kingdom
EGMH,europe,51.35,1.333,"Manston, United kingdom",Manston, United kingdom
EGNB,europe,54.1,-0.167,"Bridlington Mrsc, United Kingdom",Bridlington Mrsc, United Kingdom
EGNH,europe,53.767,-3.033,"Blackpool, United kingdom",Blackpool, United kingdom
EGNM,europe,53.867,-1.65,"Leeds Bradford, United kingdom",Leeds Bradford, United kingdom
EGNS,europe,54.083,-4.633,"Isle Of Man/ronalds, Man  isle of",Isle Of Man/ronalds, Man  isle of
EGNT,europe,55.033,-1.683,"Newcastle, United kingdom",Newcastle, United kingdom
EGOS,europe,52.8,-2.667,"Shawbury, United kingdom",Shawbury, United kingdom
EGOV,europe,53.25,-4.533,"Valley, United kingdom",Valley, United kingdom
EGPA,europe,58.95,-2.9,"Kirkwall Airport, United kingdom",Kirkwall Airport, United kingdom
EGPB,europe,59.883,-1.3,"Sumburgh (cape), United kingdom",Sumburgh (cape), United kingdom
EGPC,europe,58.45,-3.083,"Wick, United kingdom",Wick, United kingdom
EGPD,europe,57.2,-2.217,"Aberdeen/dyce Airpo, United kingdom",Aberdeen/dyce Airpo, United kingdom
EGPF,europe,55.867,-4.433,"Glasgow Airport, United kingdom",Glasgow Airport, United kingdom
EGPH,europe,55.95,-3.35,"Edinburgh Airport, United kingdom",Edinburgh Airport, United kingdom
EGPK,europe,55.5,-4.583,"Prestwick(civ/navy), United kingdom",Prestwick(civ/navy), United kingdom
EGPL,europe,57.467,-7.367,"Benbecula Island, United kingdom",Benbecula Island, United kingdom
EGPO,europe,58.217,-6.317,"Stornoway, United kingdom",Stornoway, United kingdom
EGPU,europe,56.5,-6.883,"Tiree, United kingdom",Tiree, United kingdom
EGQK,europe,57.65,-3.567,"Kinloss, United kingdom",Kinloss, United kingdom
EGQL,europe,56.4,-2.867,"Leuchars, United kingdom",Leuchars, United kingdom
EGQS,europe,57.717,-3.317,"Lossiemouth, United kingdom",Lossiemouth, United kingdom
EGSL,europe,51.896,0.451,"Andrewsfield, United Kingdom",Andrewsfield, United Kingdom
EGSS,europe,51.883,0.233,"Stansted Airport, United kingdom",Stansted Airport, United kingdom
EGTE,europe,50.733,-3.4,"Exeter Airport, United kingdom",Exeter Airport, United kingdom
EGUH,europe,51.617,0.767,"High Wicombe(usaf), United kingdom",High Wicombe(usaf), United kingdom
EGUW,europe,52.117,0.967,"Wattisham, United kingdom",Wattisham, United kingdom
EGVN,europe,51.75,-1.583,"Brize Norton, United kingdom",Brize Norton, United kingdom
EGXC,europe,53.083,-0.167,"Coningsby, United kingdom",Coningsby, United kingdom
EGXE,europe,54.3,-1.533,"Leeming, United kingdom",Leeming, United kingdom
EGXP,europe,53.3,-0.55,"Scampton, United kingdom",Scampton, United kingdom
EGXT,europe,52.617,-0.467,"Wittering, United kingdom",Wittering, United kingdom
EGXV,europe,53.883,-0.433,"Leconfield, United kingdom",Leconfield, United kingdom
EGXW,europe,53.167,-0.517,"Waddington, United kingdom",Waddington, United kingdom
EGYM,europe,52.65,0.567,"Marham, United kingdom",Marham, United kingdom
EGYW,europe,53.083,0.267,"Wainfleet, United kingdom",Wainfleet, United kingdom
EHAM,europe,52.3,4.767,"Amsterdam Ap Schiph, Netherlands",Amsterdam Ap Schiph, Netherlands
EHBK,europe,50.9,5.75,"Maastricht Aachen Ap, Netherlands",Maastricht Aachen Ap, Netherlands
EHDB,europe,52.1,5.183,"De Bilt, Netherlands",De Bilt, Netherlands
EHDL,europe,52.05,5.867,"Deelen, Netherlands",Deelen, Netherlands
EHEH,europe,51.45,5.417,"Eindhoven, Netherlands",Eindhoven, Netherlands
EHGG,europe,53.133,6.583,"Groningen Ap Eelde, Netherlands",Groningen Ap Eelde, Netherlands
EHGR,europe,51.567,4.933,"Gilze Rijen, Netherlands",Gilze Rijen, Netherlands
EHKD,europe,52.917,4.783,"De Kooij, Netherlands",De Kooij, Netherlands
EHLW,europe,53.217,5.767,"Leeuwarden, Netherlands",Leeuwarden, Netherlands
EHRD,europe,51.95,4.45,"Rotterdam The Hague, Netherlands",Rotterdam The Hague, Netherlands
EHTW,europe,52.267,6.9,"Twenthe, Netherlands",Twenthe, Netherlands
EHVB,europe,52.167,4.433,"Valkenburg, Netherlands",Valkenburg, Netherlands
EHVK,europe,51.65,5.7,"Volkel, Netherlands",Volkel, Netherlands
EICK,europe,51.85,-8.483,"Cork Airport, Ireland",Cork Airport, Ireland
EIDW,europe,53.433,-6.25,"Dublin Airport, Ireland",Dublin Airport, Ireland
EINN,europe,52.7,-8.917,"Shannon Airport, Ireland",Shannon Airport, Ireland
EKAH,europe,56.317,10.633,"Aarhus Lufthavn, Denmark",Aarhus Lufthavn, Denmark
EKBI,europe,55.733,9.167,"Billund, Denmark",Billund, Denmark
EKCH,europe,55.617,12.65,"Koebenhavn/kastrup, Denmark",Koebenhavn/kastrup, Denmark
EKEB,europe,55.533,8.567,"Esbjerg, Denmark",Esbjerg, Denmark
EKKA,europe,56.3,9.117,"Karup, Denmark",Karup, Denmark
EKMB,europe,54.7,11.45,"Maribo, Denmark",Maribo, Denmark
EKOD,europe,55.483,10.333,"Odense/beldringe, Denmark",Odense/beldringe, Denmark
EKRK,europe,55.583,12.133,"Copenhagen/roskilde, Denmark",Copenhagen/roskilde, Denmark
EKRN,europe,55.067,14.75,"Roenne, Denmark",Roenne, Denmark
EKSN,europe,57.5,10.217,"Sindal, Denmark",Sindal, Denmark
EKSP,europe,55.233,9.267,"Skrydstrup, Denmark",Skrydstrup, Denmark
EKYT,europe,57.1,9.85,"Flyvestation Aalbor, Denmark",Flyvestation Aalbor, Denmark
ELLX,europe,49.617,6.217,"Luxembourg/luxembou, Luxembourg",Luxembourg/luxembou, Luxembourg
ENAL,europe,62.567,6.117,"Alesund/vigra, Norway",Alesund/vigra, Norway
ENAN,europe,69.3,16.133,"Andoya, Norway",Andoya, Norway
ENAT,europe,69.983,23.367,"Alta Lufthavn, Norway",Alta Lufthavn, Norway
ENBO,europe,67.267,14.367,"Bodo Vi, Norway",Bodo Vi, Norway
ENBR,europe,60.283,5.233,"Bergen/flesland, Norway",Bergen/flesland, Norway
ENCN,europe,58.2,8.083,"Kristiansand/kjevik, Norway",Kristiansand/kjevik, Norway
ENDU,europe,69.067,18.533,"Bardufoss, Norway",Bardufoss, Norway
ENEV,europe,68.483,16.683,"Evenes Ap, Norway",Evenes Ap, Norway
ENGM,europe,60.2,11.083,"Oslo/gardermoen, Norway",Oslo/gardermoen, Norway
ENKB,europe,63.1,7.8,"Kristiansund Ap, Norway",Kristiansund Ap, Norway
ENKR,europe,69.733,29.9,"Kirkenes, Norway",Kirkenes, Norway
ENML,europe,62.733,7.25,"Molde Ap, Norway",Molde Ap, Norway
ENOL,europe,63.7,9.6,"Orland Iii, Norway",Orland Iii, Norway
ENRY,europe,59.383,10.783,"Rygge, Norway",Rygge, Norway
ENTC,europe,69.683,18.917,"Tromso/langnes, Norway",Tromso/langnes, Norway
ENVA,europe,63.467,10.933,"Trondheim/vernes, Norway",Trondheim/vernes, Norway
ENZV,europe,58.883,5.633,"Stavanger/sola, Norway",Stavanger/sola, Norway
EPGD,europe,54.383,18.467,"Gdansk-rebiechowo, Poland",Gdansk-rebiechowo, Poland
EPKA,europe,50.817,20.7,"Kielce, Poland",Kielce, Poland
EPKK,europe,50.083,19.8,"Krakow-balice, Poland",Krakow-balice, Poland
EPKM,europe,50.233,19.033,"Katowice, Poland",Katowice, Poland
EPKO,europe,54.2,16.149,"Koszalin, Poland",Koszalin, Poland
EPKT,europe,50.233,19.033,"Katowice, Poland",Katowice, Poland
EPLL,europe,51.717,19.4,"Lublinek, Poland",Lublinek, Poland
EPLR,europe,51.217,22.4,"Lublin Radawiec, Poland",Lublin Radawiec, Poland
EPPO,europe,52.417,16.85,"Poznan, Poland",Poznan, Poland
EPRZ,europe,50.1,22.05,"Rzeszow-jasionka, Poland",Rzeszow-jasionka, Poland
EPSC,europe,53.4,14.617,"Szczecin, Poland",Szczecin, Poland
EPSK,europe,54.467,17.017,"Slupsk            &, Poland",Slupsk            &, Poland
EPTO,europe,53.033,18.583,"Torun, Poland",Torun, Poland
EPWA,europe,52.167,20.967,"Warszawa-okecie, Poland",Warszawa-okecie, Poland
EPWR,europe,51.1,16.883,"Wroclaw Ii, Poland",Wroclaw Ii, Poland
EPZG,europe,52.133,15.783,"Zielona Gora-babimos, Poland",Zielona Gora-babimos, Poland
ESCF,europe,58.4,15.533,"Linkoping/malmslatt, Sweden",Linkoping/malmslatt, Sweden
ESGJ,europe,57.75,14.083,"Jonkoping/axamo, Sweden",Jonkoping/axamo, Sweden
ESGP,europe,57.783,11.883,"Goteborg/save, Sweden",Goteborg/save, Sweden
ESMQ,europe,56.733,16.3,"Kalmar, Sweden",Kalmar, Sweden
ESNK,europe,63.05,17.767,"Kramfors (swe-afb), Sweden",Kramfors (swe-afb), Sweden
ESNQ,europe,67.817,20.333,"Kiruna, Sweden",Kiruna, Sweden
ESNU,europe,63.8,20.283,"Umea, Sweden",Umea, Sweden
ESNZ,europe,63.2,14.5,"Ostersund Froson, Sweden",Ostersund Froson, Sweden
ESOK,europe,59.45,13.467,"Karlstad Flygplats, Sweden",Karlstad Flygplats, Sweden
ESOW,europe,59.583,16.633,"Vasteras/hasslo Afb, Sweden",Vasteras/hasslo Afb, Sweden
ETAD,europe,49.983,6.7,"Spangdahlem, Germany",Spangdahlem, Germany
ETAR,europe,49.433,7.6,"Ramstein, Germany",Ramstein, Germany
ETBW,europe,49.667,12.183,"Weiden, Germany",Weiden, Germany
ETMN,europe,53.767,8.667,"Nordholz, Germany",Nordholz, Germany
ETNN,europe,50.833,6.667,"Noervenich, Germany",Noervenich, Germany
ETNS,europe,54.467,9.517,"Schleswig-jagel, Germany",Schleswig-jagel, Germany
ETNT,europe,53.55,7.667,"Wittmundhaven, Germany",Wittmundhaven, Germany
ETSA,europe,48.067,10.9,"Landsberg, Germany",Landsberg, Germany
ETSB,europe,50.167,7.067,"Buechel, Germany",Buechel, Germany
ETSN,europe,48.717,11.217,"Neuburg/donau, Germany",Neuburg/donau, Germany
ETUO,europe,51.933,8.317,"Guetersloh, Germany",Guetersloh, Germany
EVLA,europe,56.483,21.017,"Liepaja, Latvia",Liepaja, Latvia
EYVI,europe,54.633,25.283,"Vilnius, Lithuania",Vilnius, Lithuania
GEML,europe,35.283,-2.95,"Melilla, Spain",Melilla, Spain
GMFF,europe,33.933,-4.983,"Fes-sais, Morocco",Fes-sais, Morocco
GMFK,europe,31.933,-4.4,"Errachidia, Morocco",Errachidia, Morocco
GMFO,europe,34.783,-1.933,"Oujda, Morocco",Oujda, Morocco
GMME,europe,34.05,-6.767,"Rabat-sale, Morocco",Rabat-sale, Morocco
GMMN,europe,33.367,-7.583,"Nouasseur, Morocco",Nouasseur, Morocco
GMMX,europe,31.617,-8.032,"Marrakech, Morocco",Marrakech, Morocco
GMMZ,europe,30.933,-6.9,"Ouarzazate, Morocco",Ouarzazate, Morocco
GMTA,europe,35.183,-3.85,"Al Hoceima, Morocco",Al Hoceima, Morocco
GMTN,europe,35.583,-5.333,"Tetouan, Morocco",Tetouan, Morocco
GMTT,europe,35.733,-5.9,"Tanger (aerodrome), Morocco",Tanger (aerodrome), Morocco
HEAX,europe,31.167,29.933,"Alexandria/nouzha, Egypt",Alexandria/nouzha, Egypt
HECA,europe,30.1,31.4,"Cairo Airport, Egypt",Cairo Airport, Egypt
HEMM,europe,31.333,27.217,"Mersa Matruh, Egypt",Mersa Matruh, Egypt
HLLB,europe,32.1,20.267,"Benina, Libya",Benina, Libya
HLLT,europe,32.7,13.083,"Tripoli Internation, Libya",Tripoli Internation, Libya
LBBG,europe,42.483,27.483,"Burgas, Bulgaria",Burgas, Bulgaria
LBPD,europe,42.133,24.75,"Plovdiv, Bulgaria",Plovdiv, Bulgaria
LBSF,europe,42.65,23.383,"Sofia (observ.), Bulgaria",Sofia (observ.), Bulgaria
LBWN,europe,43.2,27.917,"Varna, Bulgaria",Varna, Bulgaria
LCLK,europe,34.883,33.633,"Larnaca Airport, Cyprus",Larnaca Airport, Cyprus
LCPH,europe,34.717,32.482,"Paphos Airport, Cyprus",Paphos Airport, Cyprus
LDRI,europe,45.217,14.583,"Rijeka/omisalj, Croatia",Rijeka/omisalj, Croatia
LEAB,europe,38.95,-1.85,"Albacete/los Llanos, Spain",Albacete/los Llanos, Spain
LEAL,europe,38.283,-0.55,"Alicante/el Altet, Spain",Alicante/el Altet, Spain
LEAM,europe,36.85,-2.383,"Almeria/aeropuerto, Spain",Almeria/aeropuerto, Spain
LEAS,europe,43.55,-6.033,"Asturias/aviles, Spain",Asturias/aviles, Spain
LEBA,europe,37.85,-4.85,"Cordoba/aeropuerto, Spain",Cordoba/aeropuerto, Spain
LEBB,europe,43.3,-2.9,"Bilbao/sondica, Spain",Bilbao/sondica, Spain
LEBG,europe,42.35,-3.633,"Burgos/villafria, Spain",Burgos/villafria, Spain
LEBL,europe,41.283,2.067,"Barcelona/aeropuert, Spain",Barcelona/aeropuert, Spain
LEBZ,europe,38.883,-6.833,"Badajoz/talavera La, Spain",Badajoz/talavera La, Spain
LECO,europe,43.3,-8.383,"La Coruna/alvedro, Spain",La Coruna/alvedro, Spain
LEGE,europe,41.9,2.767,"Gerona/costa Brava, Spain",Gerona/costa Brava, Spain
LEGR,europe,37.183,-3.783,"Granada/aeropuerto, Spain",Granada/aeropuerto, Spain
LEJR,europe,36.75,-6.067,"Jerez De La Fronter, Spain",Jerez De La Fronter, Spain
LELC,europe,37.783,-0.8,"Murcia/san Javier, Spain",Murcia/san Javier, Spain
